id,question,answer,category,urgency
NET021,How to set up a secure wireless access point for a department event?,"Submit temporary wireless network request at least 5 business days in advance. Provide event details, expected attendees, duration, and security requirements. Guest network will be provisioned with unique SSID and password. Bandwidth limits apply. Network automatically disabled after event. Technical support available during event.",Network & Connectivity,medium
NET022,Cannot access network resources after changing office location.,New network port may need activation. Submit port activation request with building and room number. VLAN configuration may differ between locations. Update static IP if assigned. Network profile may need refreshing. Allow 2 business days for port activation.,Network & Connectivity,medium
NET023,Internet connectivity lost after power outage.,Check if network equipment has power. Wait 10 minutes for automatic recovery. Reboot network switch if accessible. Report building-wide outages to facilities. Critical network equipment has UPS backup. Contact IT if not restored within 30 minutes.,Network & Connectivity,high
NET024,How to configure QoS for video conferencing traffic?,"QoS automatically applied for recognized video conferencing services (Zoom, Teams). Ensure using institution-approved services. Wired connection recommended for critical meetings. Home network QoS not managed by institution. For special events, request priority bandwidth allocation.",Network & Connectivity,low
NET025,Network latency issues affecting real-time applications.,Run traceroute to identify bottleneck. Check if using WiFi vs wired connection. Background updates may be consuming bandwidth. Test during different times of day. Some applications have specific port requirements. Contact IT with traceroute results for investigation.,Network & Connectivity,medium
SEC021,How to conduct a security risk assessment for a new project?,"Submit project security assessment request early in planning. Include system architecture, data types, users, and integrations. Security team provides threat modeling and controls recommendations. Follow secure development lifecycle. Regular security reviews throughout project. Final security sign-off required before launch.",Security & Compliance,medium
SEC022,Need to comply with GDPR for international research data.,Data protection impact assessment required. Implement data minimization and pseudonymization. Data processing agreements needed for international transfers. Designate data protection officer contact. Right to erasure procedures. Regular compliance audits.,Security & Compliance,high
SEC023,Social engineering attempt detected - caller asking for credentials.,Do NOT provide any information. Note caller details and report immediately to IT Security. Alert department colleagues. Review security awareness training. These attempts often increase during semester starts. IT may send campus-wide alert if pattern detected.,Security & Compliance,critical
SEC024,Unauthorized software installation detected on network.,Software will be automatically removed if violates policy. User notified with instructions. Repeated violations may result in network access suspension. Approved software available through software center. Development software requires separate approval process.,Security & Compliance,medium
SEC025,Need to implement least privilege access for administrative accounts.,Review current permissions and reduce to minimum necessary. Separate user and admin accounts. Use Just-In-Time elevation where possible. Regular review of privileged access. Monitor admin account usage. Implement approval workflow for privilege use.,Security & Compliance,high
ACC021,Account synchronization delay between systems.,"Normal sync cycle is 15 minutes. Major syncs occur hourly. Emergency sync available for critical needs. Check source system (HR for employees, registrar for students). Manual override possible with approval. Report sync failures exceeding 2 hours.",Account & Access,medium
ACC022,Need to access system as another user for troubleshooting.,Submit impersonation request with justification and duration. Requires manager approval. Logging of all actions performed. Limited to 4 hours maximum. Emergency impersonation available for critical systems. Regular audit of impersonation logs.,Account & Access,high
ACC023,Digital certificate expiration causing access issues.,Renew certificate before expiration date. Self-service portal for certificate renewal. Test new certificate in staging environment. Update all applications using certificate. Monitor for expiration warnings 30 days in advance. Emergency certificate issuance available.,Account & Access,high
ACC024,Biometric authentication not working consistently.,"Clean sensor and retry enrollment. Update biometric drivers. Some changes (weight, injury) may require re-enrollment. Alternative authentication methods available. Biometric data stored locally only. Technical support for hardware issues.",Account & Access,medium
ACC025,Access request workflow automation needed.,Use identity management system for automated provisioning. Define roles and approval workflows. Integration with HR system for joiner/mover/leaver processes. Self-service access requests with manager approval. Regular access certifications. Audit trail for compliance.,Account & Access,low
SOF021,Software compatibility issues after OS upgrade.,Check software vendor for compatibility statement. Some software requires specific OS versions. Virtualization or compatibility mode may help. Contact software vendor for patches. Legacy software may need replacement. Test in isolated environment before deployment.,Software & Applications,high
SOF022,Need to automate software deployment across department.,"Use software distribution system (SCCM, Jamf). Package software with silent install options. Test deployment on pilot group first. Schedule deployments during maintenance windows. Provide user notifications. Rollback plan essential.",Software & Applications,medium
SOF023,Software license server not responding.,Check license server status page. Restart license manager service. Verify network connectivity to server. Check license file expiration. Failover to backup server if configured. Contact vendor for license server issues.,Software & Applications,high
SOF024,Custom software development for department needs.,Submit project request with requirements. Development team assesses feasibility and timeline. Agile development methodology used. User acceptance testing required. Maintenance and support agreement needed. Consider commercial off-the-shelf alternatives first.,Software & Applications,low
SOF025,Software training materials and documentation.,Knowledge base articles available. Video tutorials for common tasks. In-person workshops scheduled monthly. Quick reference guides for department software. Training environment for practice. Custom training for department-specific workflows.,Software & Applications,low
HRD021,Computer fan running loudly constantly.,Clean dust from vents and fans. Check for processes using high CPU. May indicate failing fan or thermal paste. Use compressed air for cleaning. Hardware diagnostics available. Replace fan if bearings failing.,Hardware & Equipment,medium
HRD022,Need ergonomic assessment and equipment.,"Submit ergonomic assessment request. Specialist will evaluate workstation setup. Recommendations for chairs, desks, monitors, etc. Approved equipment available through procurement. Follow-up assessment after adjustments. Priority for medical accommodations.",Hardware & Equipment,low
HRD023,Tablet device not syncing with institutional systems.,Install mobile device management profile. Ensure using institution-approved apps. Check sync settings in each app. Some systems require VPN for off-campus sync. Clear app cache and retry. Factory reset as last resort.,Hardware & Equipment,medium
HRD024,Digital signage hardware not updating content.,Check network connectivity of signage player. Restart signage software. Verify content schedule is active. Update signage player software. Test with simple content first. Contact digital signage team for support.,Hardware & Equipment,medium
HRD025,Conference room AV system integration issues.,Check control system programming. Update firmware on all components. Test each component individually. Cabling may need verification. Room may need re-calibration. Contact AV integration specialist.,Hardware & Equipment,medium
EML021,Email search returning too many results.,"Use advanced search operators (from:, subject:, has:attachment). Specify date ranges. Search within specific folders. Use Boolean operators (AND, OR, NOT). Index may need rebuilding for precise results. Consider using desktop search tools.",Email & Communication,low
EML022,Need to archive departmental email for record keeping.,Use mailbox archive feature. Set retention policies for different folders. Export to PST for long-term storage. Consider using SharePoint for collaborative records. Legal hold may be required for certain communications. Consult records management for requirements.,Email & Communication,low
EML023,Email client rules not executing properly.,Check rule order - rules execute in order listed. Some rules only work when client is running. Server-side vs client-side rules distinction. Test with simple rule first. Too many rules may cause conflicts. Consider using inbox rules instead of client rules.,Email & Communication,low
EML024,Unsubscribe not working from mailing lists.,Use institutional mailing list management portal. Some lists require owner approval to unsubscribe. Global unsubscribe available for all institutional lists. Report spam if unsubscribe fails. Marketing emails have unsubscribe requirements by law.,Email & Communication,low
EML025,Email encryption for sensitive communications.,Use 'Encrypt' option in Outlook for internal emails. External recipients receive portal link for secure viewing. Encrypted email subject line indicates secure message. Training available on proper use. Some data types require mandatory encryption. Audit logging of encrypted messages.,Email & Communication,medium
DAT021,Data deduplication to save storage space.,Enabled on primary storage arrays. Deduplication ratios typically 2:1 to 10:1. Backup storage has additional deduplication. Not suitable for already compressed data. Performance impact minimal. Reporting available on space savings.,Data Management,low
